Name, ID, Latitude, Longitude
Idegem, BE.NMBS.008895729, 50.801871, 3.921553
Ingelmunster, BE.NMBS.008896925, 50.914326, 3.255416
Izegem, BE.NMBS.008896909, 50.921149, 3.212088
Jambes, BE.NMBS.008863115, 50.454843, 4.876144
Jambes-Est, BE.NMBS.008863354, 50.454798, 4.880261
Jamioulx, BE.NMBS.008871175, 50.352896, 4.411294
Jemappes, BE.NMBS.008884566, 50.452577, 3.885587
Jemeppe-sur-Meuse, BE.NMBS.008843158, 50.618446, 5.497874
Jemeppe-sur-Sambre, BE.NMBS.008874724, 50.45095, 4.662632
Jette, BE.NMBS.008812047, 50.880833, 4.32622
Jurbise, BE.NMBS.008881166, 50.530496, 3.910694
Juslenville, BE.NMBS.008844321, 50.544717, 5.809935
Kalmthout, BE.NMBS.008821444, 51.391177, 4.46682
Kapelle-op-den-Bos, BE.NMBS.008822053, 51.010843, 4.359121
Kapellen, BE.NMBS.008821535, 51.313528, 4.432661
Kautebaach, BE.NMBS.008200130, 49.952777, 6.020003
Kessel, BE.NMBS.008821659, 51.151057, 4.618459
Kiewit, BE.NMBS.008832375, 50.954841, 5.350226
Kijkuit, BE.NMBS.008821451, 51.378664, 4.467315
Klengbetten, BE.NMBS.008200520, 49.646389, 5.916385
Knokke, BE.NMBS.008891660, 51.339894, 3.285188
Koksijde, BE.NMBS.008892320, 51.079197, 2.65277
Komen/Comines, BE.NMBS.008896412, 50.772072, 2.999286
Kontich-Lint, BE.NMBS.008821311, 51.134023, 4.476358
Kortemark, BE.NMBS.008892403, 51.025244, 3.043459
Kortenberg, BE.NMBS.008811254, 50.893067, 4.543301
Kortrijk, BE.NMBS.008896008, 50.824506, 3.264549
Kwatrecht, BE.NMBS.008893567, 50.99175, 3.829593
Köln Hbf, BE.NMBS.008015458, 50.942721, 6.958823
La Hulpe, BE.NMBS.008811510, 50.737958, 4.49706
La Louvière-Centre, BE.NMBS.008882107, 50.478161, 4.179858
La Louvière-Sud, BE.NMBS.008882206, 50.464974, 4.190609
La Roche (Brabant), BE.NMBS.008872587, 50.610338, 4.539157
Labuissière, BE.NMBS.008871670, 50.316328, 4.186833
Lamadeleine, BE.NMBS.008200935, 49.55334, 5.861335
Landegem, BE.NMBS.008892056, 51.064311, 3.576852
Landelies, BE.NMBS.008871837, 50.377311, 4.350976
Landen, BE.NMBS.008833605, 50.747927, 5.07966
Landgraaf, BE.NMBS.008400548, 50.89651, 6.019776
Landry, BE.NMBS.008774177, 45.574194, 6.733522
Landskouter, BE.NMBS.008893054, 50.970545, 3.791146
Langdorp, BE.NMBS.008833258, 51.002466, 4.863541
Le Campinaire, BE.NMBS.008874559, 50.42383, 4.542787
Lebbeke, BE.NMBS.008812161, 51.005009, 4.134372
Lede, BE.NMBS.008895067, 50.970895, 3.984981
Leignon, BE.NMBS.008864816, 50.267768, 5.107778
Leman, BE.NMBS.008843224, 50.600396, 5.468309
Lembeek, BE.NMBS.008814332, 50.715107, 4.221577
Lens, BE.NMBS.008881190, 50.559342, 3.903224
Leopoldsburg, BE.NMBS.008832003, 51.117312, 5.257287
Les Arcs - Draguignan, BE.NMBS.008775544, 43.4555673, 6.4826446
Lessines, BE.NMBS.008886504, 50.712015, 3.836434
Leudelange, BE.NMBS.008200712, 49.58712, 6.059306
Leuven, BE.NMBS.008833001, 50.88228, 4.715866
Leuze, BE.NMBS.008886348, 50.600612, 3.616872
Leval, BE.NMBS.008882339, 50.430797, 4.211041
Lezennes, BE.NMBS.008728710, 50.616666, 3.116667
Libramont, BE.NMBS.008865003, 49.920434, 5.37927
Lichtervelde, BE.NMBS.008892205, 51.025163, 3.127212
Liedekerke, BE.NMBS.008895836, 50.882531, 4.095287
Lier, BE.NMBS.008821600, 51.135758, 4.560614
Lierde, BE.NMBS.008895570, 50.816236, 3.826564
Liers, BE.NMBS.008841673, 50.698181, 5.56683
Ligny, BE.NMBS.008872520, 50.511726, 4.566133
Lille Europe, BE.NMBS.008722326, 50.6391167, 3.0756612
Lille Flandres, BE.NMBS.008728600, 50.633333, 3.066669
Lillois, BE.NMBS.008814241, 50.645423, 4.365368
Limal, BE.NMBS.008811635, 50.69214, 4.575302
Limburg Süd, BE.NMBS.008032572, 50.3842, 8.063261
Linkebeek, BE.NMBS.008814142, 50.773681, 4.339434
Lissewege, BE.NMBS.008891629, 51.294714, 3.194505
Liège-Carré, BE.NMBS.008841558, 50.640299, 5.561131
Liège-Guillemins, BE.NMBS.008841004, 50.62455, 5.566695
Liège-Saint-Lambert, BE.NMBS.008841525, 50.646349, 5.570453
Lobbes, BE.NMBS.008871712, 50.346469, 4.260958
Lodelinsart, BE.NMBS.008872306, 50.432451, 4.462946
Lokeren, BE.NMBS.008894201, 51.108062, 3.987794
Lommel, BE.NMBS.008832565, 51.211564, 5.312031
Londerzeel, BE.NMBS.008822111, 51.009091, 4.299073
London Saint Pancras International, BE.NMBS.007015400, 51.5304, 0.123808
London Waterloo, BE.NMBS.007054650, 51.5031, -0.1132
Lonzée, BE.NMBS.008861416, 50.551935, 4.7201
Lorraine TGV, BE.NMBS.008714210, 48.9475, 6.169722
Lot, BE.NMBS.008814357, 50.766364, 4.273696
Louvain-la-Neuve, BE.NMBS.008811676, 50.669793, 4.615745
Lustin, BE.NMBS.008863156, 50.369000316323856, 4.877071380615234
Luttre, BE.NMBS.008871308, 50.505856, 4.38412
Lyon Part Dieu TGV, BE.NMBS.008772319, 45.75, 4.85
Lyon-Perrache TGV, BE.NMBS.008772202, 45.74836, 4.825301
Lyon-Saint Exupéry TGV, BE.NMBS.008776290, 45.720907, 5.075822
Lëtzebuerg, BE.NMBS.008200100, 49.599996, 6.133331
Maastricht, BE.NMBS.008400424, 50.85, 5.705392
Maastricht Randwyck, BE.NMBS.008400426, 50.838502, 5.716707
Maffle, BE.NMBS.008886041, 50.614356, 3.800117
Malderen, BE.NMBS.008822137, 51.014484, 4.22911
Mamer, BE.NMBS.008200516, 49.625663, 6.02014
Mamer-Lycée, BE.NMBS.008210014, 49.618415, 6.02968
Manage, BE.NMBS.008882701, 50.506108, 4.234683
Mannheim Hbf, BE.NMBS.008014008, 49.479722, 8.469722
Marbehan, BE.NMBS.008866175, 49.727337, 5.539755
Marche-en-Famenne, BE.NMBS.008864410, 50.222472, 5.346289
Marche-les-Dames, BE.NMBS.008863461, 50.480741, 4.96458
Marche-lez-Écaussinnes, BE.NMBS.008883220, 50.546173, 4.177098
Marchienne-Zone, BE.NMBS.008871852, 50.397465, 4.388767
Marchienne-au-Pont, BE.NMBS.008871100, 50.412171, 4.394223
Maria-Aalter, BE.NMBS.008891132, 51.107612, 3.38673
Mariembourg, BE.NMBS.008875002, 50.09549, 4.525691
Marloie, BE.NMBS.008864345, 50.202821, 5.313892
Marne-la-Vallée - Chessy, BE.NMBS.008711184, 48.868256, 2.782184
Marseille-Saint-Charles, BE.NMBS.008775100, 43.303178, 5.380752
Masnuy-Saint-Pierre, BE.NMBS.008881174, 50.536546, 3.962139
Massy TGV, BE.NMBS.008739370, 48.725758, 2.261254
Maubeuge, BE.NMBS.008729500, 50.27289, 3.966566
