ID, Name, Date, In Danger, Danger list, long, lat, Area [ha], Category, Countries, Region
203, "From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt", 1982, 0, , 5.876388889, 46.9375, 10.48, Cultural, "France", "Europe and North America"
204, "Old Havana and its Fortification System", 1982, 0, , -82.35, 23.13333333, 238.7, Cultural, "Cuba", "Latin America and the Caribbean"
205, "Talamanca Range-La Amistad Reserves / La Amistad National Park", 1983, 0, , -82.93880556, 9.407083333, 570045, Natural, "Costa Rica,Panama", "Latin America and the Caribbean"
206, "Central Zone of the Town of Angra do Heroismo in the Azores", 1983, 0, , -27.22, 38.655, 0, Cultural, "Portugal", "Europe and North America"
208, "Cultural Landscape and Archaeological Remains of the Bamiyan Valley", 2003, 1, Y 2003, 67.82525, 34.84694, 158.9265, Cultural, "Afghanistan", "Asia and the Pacific"
211, "Minaret and Archaeological Remains of Jam", 2002, 1, Y 2002, 64.51588889, 34.39641667, 70, Cultural, "Afghanistan", "Asia and the Pacific"
216, "Rila Monastery", 1983, 0, , 23.340187, 42.133298, 10.7, Cultural, "Bulgaria", "Europe and North America"
217, "Ancient City of Nessebar", 1983, 0, , 27.73602778, 42.65911111, 34.71, Cultural, "Bulgaria", "Europe and North America"
219, "Srebarna Nature Reserve", 1983, 0, P 1992-2003, 27.07806, 44.11444, 638, Natural, "Bulgaria", "Europe and North America"
225, "Pirin National Park", 1983, 0, , 23.43047222, 41.74272222, 38350.04, Natural, "Bulgaria", "Europe and North America"
227, "Comoé National Park", 1983, 0, P 2003-2017, -4, 9, , Natural, "Côte d'Ivoire", "Africa"
228, "Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge", 1995, 0, , 4.806111111, 43.95277778, 8.2, Cultural, "France", "Europe and North America"
229, "Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy", 1983, 0, , 6.183333333, 48.69361111, 7, Cultural, "France", "Europe and North America"
230, "Abbey Church of Saint-Savin sur Gartempe", 1983, 0, , 0.86611, 46.56472, 1.61, Cultural, "France", "Europe and North America"
231, "Red Fort Complex", 2007, 0, , 77.24083333, 28.65555556, 49.1815, Cultural, "India", "Asia and the Pacific"
232, "Humayun's Tomb, Delhi", 1993, 0, , 77.25056, 28.59333, 27.04, Cultural, "India", "Asia and the Pacific"
233, "Qutb Minar and its Monuments, Delhi", 1993, 0, , 77.18528, 28.52583, 0, Cultural, "India", "Asia and the Pacific"
234, "Churches and Convents of Goa", 1986, 0, , 73.91167, 15.50222, 0, Cultural, "India", "Asia and the Pacific"
239, "Group of Monuments at Pattadakal", 1987, 0, , 75.81667, 15.94833, 5.56, Cultural, "India", "Asia and the Pacific"
240, "Khajuraho Group of Monuments", 1986, 0, , 79.92222, 24.85222, 0, Cultural, "India", "Asia and the Pacific"
241, "Group of Monuments at Hampi", 1986, 0, P 1999-2006, 76.47167, 15.31444, 4187.24, Cultural, "India", "Asia and the Pacific"
242, "Ajanta Caves", 1983, 0, , 75.70025, 20.553111, 8242, Cultural, "India", "Asia and the Pacific"
243, "Ellora Caves", 1983, 0, , 75.17917, 20.02639, 0, Cultural, "India", "Asia and the Pacific"
244, "Elephanta Caves", 1987, 0, , 72.93583, 18.96667, 0, Cultural, "India", "Asia and the Pacific"
246, "Sun Temple, Konârak", 1984, 0, , 86.09472, 19.8875, 10.62, Cultural, "India", "Asia and the Pacific"
247, "Hill Forts of Rajasthan", 2013, 0, , 74.64611111, 24.88333333, 736, Cultural, "India", "Asia and the Pacific"
249, "Group of Monuments at Mahabalipuram", 1984, 0, , 80.19167, 12.61667, 0, Cultural, "India", "Asia and the Pacific"
250, "Great Living Chola Temples", 1987, 0, , 79.1325, 10.78305556, 21.74, Cultural, "India", "Asia and the Pacific"
251, "Agra Fort", 1983, 0, , 78.021528, 27.179806, 0, Cultural, "India", "Asia and the Pacific"
252, "Taj Mahal", 1983, 0, , 78.04222, 27.17417, 0, Cultural, "India", "Asia and the Pacific"
255, "Fatehpur Sikri", 1986, 0, , 77.6665, 27.097528, 0, Cultural, "India", "Asia and the Pacific"
256, "Wood Buffalo National Park", 1983, 0, , -112.2933333, 59.35833333, 4480000, Natural, "Canada", "Europe and North America"
258, "Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve", 1983, 0, , 8.628833333, 42.32519444, 11800, Natural, "France", "Europe and North America"
259, "Great Smoky Mountains National Park", 1983, 0, , -83.43555556, 35.59305556, 209000, Natural, "United States of America", "Europe and North America"
260, "Sangay National Park", 1983, 0, P 1992-2005, -78.33333, -1.83333, 271925, Natural, "Ecuador", "Latin America and the Caribbean"
261, "Vallée de Mai Nature Reserve", 1983, 0, , 55.738, -4.331, 19.5, Natural, "Seychelles", "Africa"
262, "Sanganeb Marine National Park and Dungonab Bay – Mukkawar Island Marine National Park", 2016, 0, , 37.44305556, 19.73611111, 260700, Natural, "Sudan", "Arab States"
263, "Monastery of the Hieronymites and Tower of Belém in Lisbon", 1983, 0, , -9.21583, 38.69194, 2.66, Cultural, "Portugal", "Europe and North America"
264, "Monastery of Batalha", 1983, 0, , -8.82694, 39.65778, 0.98, Cultural, "Portugal", "Europe and North America"
265, "Convent of Christ in Tomar", 1983, 0, , -8.4175, 39.60472, 0, Cultural, "Portugal", "Europe and North America"
266, "La Fortaleza and San Juan National Historic Site in Puerto Rico", 1983, 0, , -66.125, 18.46666667, 33.39, Cultural, "United States of America", "Europe and North America"
267, "Old City of Berne", 1983, 0, , 7.45028, 46.94806, 84.684, Cultural, "Switzerland", "Europe and North America"
268, "Abbey of St Gall", 1983, 0, , 9.37778, 47.42333, 0, Cultural, "Switzerland", "Europe and North America"
269, "Benedictine Convent of St John at Müstair", 1983, 0, , 10.44765, 46.62945, 2.036, Cultural, "Switzerland", "Europe and North America"
271, "Pilgrimage Church of Wies", 1983, 0, , 10.90013889, 47.68127778, 0.1, Cultural, "Germany", "Europe and North America"
272, "Hanseatic City of Lübeck", 1987, 0, , 10.69167, 53.86667, 81.1, Cultural, "Germany", "Europe and North America"
273, "City of Cuzco", 1983, 0, , -71.980004, -13.517276, 142.48, Cultural, "Peru", "Latin America and the Caribbean"
274, "Historic Sanctuary of Machu Picchu", 1983, 0, , -72.533443, -13.184934, 38160.87, Mixed, "Peru", "Latin America and the Caribbean"
275, "Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)", 1983, 0, , -54.26583333, -28.54333333, 265.09, Cultural, "Argentina,Brazil", "Latin America and the Caribbean"
276, "Samarra Archaeological City", 2007, 1, Y 2007, 43.82354306, 34.34098944, 15058, Cultural, "Iraq", "Arab States"
