NCC, Country, Company, 
110, United States of America, Verizon Wireless, 
111, Colombia, Tigo, 
12, Australia, Vodafone, 
12, Austria, A1 Telekom, 
12, Chile, Telestar, 
12, China, China Telecom, 
12, Croatia, TELE FOCUS, 
12, Denmark, Lycamobile, 
12, Finland, DNA, 
12, France, Truphone, 
12, Georgia, Telecom 1, 
12, Germany, sipgate, 
12, Greece, Yuboto, 
12, Hong Kong, China Mobile, 
12, Iceland, Vodafone, 
12, India, Idea, 
12, International Networks, MCP, 
12, Israel, Pelephone, 
12, Kenya, Infura, 
12, Malaysia, Maxis, 
12, Netherlands, KPN, 
12, Norway, Telenor, 
12, Poland, Cyfrowy Polsat, 
12, Russia, Tele2, 
12, Singapore, GRID, 
12, South Africa, MTN, 
12, South Korea, SK Telecom, 
12, Spain, Venus Movil, 
12, Sweden, Lycamobile, 
12, Switzerland, Sunrise, 
12, Taiwan, APT, 
12, Trinidad and Tobago, bmobile, 
12, United Kingdom, Network Rail, 
120, United States of America, T-Mobile, 
123, Colombia, Movistar, 
13, Australia, RailCorp, 
13, Austria, T-Mobile / Magenta, 
13, Bulgaria, T.com, 
13, Chile, Virgin Mobile, 
13, Denmark, Compatel, 
13, Estonia, Telia, 
13, Finland, DNA, 
13, France, SFR, 
13, Germany, T-mobile, 
13, Hong Kong, China Mobile, 
13, India, Vodafone, 
13, International Networks, GSM.AQ, 
13, Ireland, Lycamobile, 
13, Israel, Ituran, 
13, Malaysia, Celcom, 
13, Poland, Move, 
13, Rwanda, Airtel, 
13, Sweden, A3, 
13, Tanzania, WiAfrica, 
13, United Kingdom, Network Rail, 
130, Colombia, Avantel, 
130, Trinidad and Tobago, Digicel, 
130, United States of America, Appalachian Wireless, 
14, Austria, 3, 
14, Chile, Netline, 
14, Denmark, Monty Mobile, 
14, Finland, Alcom, 
14, Germany, Lebara, 
14, Hong Kong, 3, 
14, India, Idea, 
14, International Networks, AeroMobile, 
14, Iran, Telekish, 
14, Israel, YouPhone, 
14, Malaysia, Telekom Malaysia, 
14, Norway, ICE, 
14, Poland, Move, 
14, Poland, Telco Leaders, 
14, Spain, Avatel Movil, 
14, Sweden, Tele2, 
