DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 910, "Hexagon-duty hexagon head screw plugs", Active, , , 
DIN 911, "Hexagon Socket Screw Keys", Withdrawn, DIN ISO 2936, ISO 2936, 
DIN 912, "Hexagon socket head cap screws (modified version of ISO 4762)", Withdrawn, DIN EN ISO 4762;DIN EN ISO 21269, ISO 4762;ISO 21269, 
DIN 913, "Hexagon socket set screws with flat point (ISO 4026 modified)", Withdrawn, DIN EN ISO 4026, ISO 4026, 
DIN 914, "Hexagon socket set screws with cone point (ISO 4027 modified)", Withdrawn, DIN EN ISO 4027, ISO 4027, 
DIN 915, "Hexagon socket set screws with dog point (ISO 4028 modified)", Withdrawn, DIN EN ISO 4028, ISO 4028, 
DIN 916, "Hexagon socket set screws with cup point (ISO 4029 modified)", Withdrawn, DIN EN ISO 4029, ISO 4029, 
DIN 918, "Fasteners; Terminology; Spelling of terms; Abbreviations", Active, , , 
DIN 918-3, "Overview of European Standards for fasteners", Active, , , 
DIN 919-1, "Technical Drawings; Wood Processing; Principles", Active, , , 
DIN 921, "Slotted pan head screws with large head", Active, , , 
DIN 923, "Slotted pan head screws with shoulder", Active, , , 
DIN 929, "Hexagon weld nuts", Active, , , 
DIN 930, "Fine thread pitch partially threaded screws", Withdrawn, DIN 931-1; DIN 931-2, , 
DIN 931-1, "M1,6 to M39 Hexagon Cap Screws Partially Threaded - Product grades A and B", Withdrawn, DIN EN ISO 4014, ISO 4014, 
DIN 931-2, "M42 to M160x6 Hexagon Cap Screws Partially Threaded - Product grade B", Withdrawn, DIN EN ISO 4014, ISO 4014, 
DIN 933, "M1,6 to M52 Hexagon Cap Screws Fully Threaded - Product grades 8.8", Withdrawn, DIN EN ISO 4017, ISO 4017, 
DIN 934, "Hexagon nuts with metric coarse and fine pitch thread - Product classes A and B", Withdrawn, DIN EN ISO 4032;DIN EN ISO 8673, ISO 4032;ISO 8673, 
DIN 935-1, "Hexagon slotted nuts and castle nuts with metric coarse and fine pitch thread - Product grades A and B", Active, , , 
DIN 935-2, "M42 to M160x6 hexagon head nuts; product grade B", Active, , , 
DIN 935-3, "Hexagon slotted nuts with metric coarse pitch thread - Product grade C", Active, , , 
DIN 936, "M8 to M52 and M8x1 to M52x3 hexagon thin nuts; product grades A and B", Withdrawn, , , 
DIN 937, "Hexagon thin castle nuts", Withdrawn, , , 
DIN 938, "Studs with a length of engagement equal to about 1 d", Active, , , 
DIN 939, "Studs with a length of engagement equal to about 1,25 d", Active, , , 
DIN 946, "Determination of coefficient of friction of bolt/nut assemblies under specified conditions", Withdrawn, DIN EN ISO 16047, ISO 16047, 
DIN 960, "M8x1 to M100x4 hexagon head bolts with fine pitch thread - Product grades A and B", Withdrawn, DIN EN ISO 8765;DIN EN ISO 8676, ISO 8765;ISO 8676, 
DIN 961, "M8x1 to M52x3 hexagon head bolts with fine pitch thread - Product grades A and B", Withdrawn, DIN EN ISO 8676, ISO 8676, 
DIN 962, "Designation system for fasteners", Active, , , 
DIN 963, "Slotted countersunk head screws (with countersunk heads as specified in ISO 2009-1972)", Withdrawn, DIN EN ISO 2009, ISO 2009, 
DIN 964, "Slotted raised countersunk oval head screws", Withdrawn, DIN EN ISO 2010, ISO 2010, 
DIN 965, "Cross recessed countersunk flat head screws", Withdrawn, DIN EN ISO 7046-1;DIN EN ISO 7046-2, ISO 7046-1;ISO 7046-2, 
DIN 966, "Cross recessed raised countersunk head screws", Withdrawn, DIN EN ISO 7047, ISO 7047, 
DIN 970, "Hexagon nuts; Style 1; Metric coarse thread, Product grades A and B; ISO 4032 modified", Withdrawn, DIN EN ISO 4032, ISO 4032, 
DIN 971-1, "Style 1 hexagon nuts with metric fine pitch thread; property classes 6 and 8", Withdrawn, DIN EN ISO 8673, ISO 8673, 
DIN 971-2, "Style 2 hexagon nuts with metric fine pitch thread; property classes 10 and 12", Withdrawn, DIN EN ISO 8674, ISO 8674, 
DIN 972, "M5 to M39 hexagon nuts; style 1; product grade C (modified version of ISO 4034)", Withdrawn, DIN EN ISO 4034, ISO 4034, 
DIN 975, "Threaded rods", Withdrawn, DIN 976-1; DIN 976-2, , 
DIN 976-1, "Metric thread stud bolts", Active, , , 
DIN 976-2, "Metric interference-fit thread stud bolts", Active, , , 
DIN 977, "Hexagon weld nuts with flange", Withdrawn, DIN EN ISO 21670, ISO 21670, 
DIN 979, "Hexagon thin slotted nuts and castle nuts with metric coarse and fine pitch thread - Product grades A and B", Active, , , 
DIN 980, "All-metal prevailing torque type hexagon nuts", Withdrawn, DIN EN ISO 7042;DIN EN ISO 10513, ISO 7042;ISO 10513, 
DIN 981, "Locknuts for use with rolling bearings", Active, , , 
