ICS, Parent ICS, Title, Scope, 
55.06, 55, Spools. Bobbins, Including holdersand  supportsand  etc. for externally wound or mounted material, 
55.08, 55, Sacks. Bags, Including sachetsand  envelopes, 
55.1, 55, Bottles. Pots. Jars, Small containers for liquids and their closures, 
55.12, 55, Cans. Tins. Tubes, Light gauge metal and plastics containers, 
55.13, 55, Aerosol containers, , 
55.14, 55, Barrels. Drums. Canisters, Containers mainly for transportation of fluidsand  including also casksand  pailsand  large tin cans for shipping materialsand  etc., 
55.16, 55, Cases. Boxes. Crates, Containers for solid goods or objects and bulk materials, 
55.18, 55, Freight distribution of goods, , 
55.2, 55, Packaging machinery, Including labellingand  markingand  brandingand  fillingand  sealing machinesand  etc., 
55.22, 55, Storing. Warehousing, , 
55.23, 55, Distribution and vending machines, Including distribution of ticketsand  foodand  beveragesand  tobacco productsand  etc., 
59.02, 59, Processes of the textile industry, , 
59.04, 59, Textile auxiliary materials, Including feathers and down, 
59.06, 59, Textile fibres, , 
59.08, 59, Products of the textile industry, , 
59.1, 59, Materials for the reinforcement of composites, , 
59.12, 59, Textile machinery, , 
59.14, 59, Leather technology, Including fur and imitation leather, 
61.02, 61, Clothes, Including underwearand  nightwearand  knitwearand  military clothingand  hosieryand  etc. and their labelling and size coding schemes, 
61.04, 61, Headgear. Clothing accessories. Fastening of clothing, Including tiesand  glovesand  scarvesand  handkerchiefsand  beltsand  bracesand  buttonsand  zip-fastenersand  umbrellasand  etc., 
61.06, 61, Footwear, Including shoelaces, 
61.08, 61, Sewing machines and other equipment for the clothing industry, Including household sewing machines, 
65.02, 65, Farming and forestry, , 
65.04, 65, Farm buildingsand  structures and installations, , 
65.06, 65, Agricultural machinesand  implements and equipment, , 
65.08, 65, Fertilizers, Including soil conditioners and culture medium, 
65.1, 65, Pesticides and other agrochemicals, , 
65.12, 65, Animal feeding stuffs, , 
65.14, 65, Beekeeping, Including equipment and installations for beekeeping, 
65.145, 65, Hunting, Including equipment and installations for hunting, 
65.15, 65, Fishing and fish breeding, Including hunting of marine mammals and reptilesand  collection and breeding of aquatic molluscs and other marine productsand  equipment and installations for fishing and fish breedingand  etc., 
65.16, 65, Tobaccoand  tobacco products and related equipment, , 
67.02, 67, Processes in the food industry, Including food hygiene and food safety, 
67.04, 67, Food products in general, , 
67.05, 67, General methods of tests and analysis for food products, , 
67.06, 67, Cerealsand  pulses and derived products, Including grainsand  cornand  floursand  baked productsand  etc., 
67.08, 67, Fruits. Vegetables, Including cannedand  dried and quick-frozen fruits and vegetables, 
67.1, 67, Milk and milk products, , 
67.12, 67, Meatand  meat products and other animal produce, Including frozen products, 
67.14, 67, Tea. Coffee. Cocoa, , 
67.16, 67, Beverages, , 
67.18, 67, Sugar. Sugar products. Starch, , 
67.19, 67, Chocolate, , 
67.2, 67, Edible oils and fats. Oilseeds, , 
67.22, 67, Spices and condiments. Food additives, , 
67.23, 67, Prepackaged and prepared foods, Including baby food, 
67.24, 67, Sensory analysis, , 
67.25, 67, Materials and articles in contact with foodstuffs, Including catering containersand  and materials and articles in contact with drinking water, 
67.26, 67, Plants and equipment for the food industry, , 
71.02, 71, Production in the chemical industry, Including plant layout and servicesand  process design and controland  processing operationsand  security measuresand  etc., 
71.04, 71, Analytical chemistry, , 
71.06, 71, Inorganic chemicals, , 
71.08, 71, Organic chemicals, , 
71.1, 71, Products of the chemical industry, , 
71.12, 71, Equipment for the chemical industry, , 
73.02, 73, Mining and quarrying, Including explorationand  opening-upand  developmentand  working of mineral depositsand  drillingand  construction of minesand  mining operationsand  processing of mineralsand  etc., 
73.04, 73, Coals, Including lignites, 
73.06, 73, Metalliferous minerals and their concentrates, , 
73.08, 73, Non-metalliferous minerals, Including micaand  fluorsparand  etc., 
73.1, 73, Mining equipment, , 
73.12, 73, Equipment for processing of minerals, Including equipment for millingand  sizingand  separationand  flotationand  concentrationand  etc., 
75.02, 75, Extraction and processing of petroleum and natural gas, , 
75.04, 75, Crude petroleum, , 
75.06, 75, Natural gas, , 
75.08, 75, Petroleum products in general, , 
75.1, 75, Lubricantsand  industrial oils and related products, Including mineral oilsand  fluids for metal working and for temporary protection against corrosion, 
75.12, 75, Hydraulic fluids, , 
75.14, 75, Waxesand  bituminous materials and other petroleum products, , 
75.16, 75, Fuels, , 
75.18, 75, Equipment for petroleum and natural gas industries, , 
75.2, 75, Petroleum products and natural gas handling equipment, Including petroleum and natural gas storage devicesand  distribution systemsand  pipelinesand  petrol stationsand  dispensing devicesand  etc., 
77.02, 77, Production of metals, , 
77.04, 77, Testing of metals, , 
77.06, 77, Corrosion of metals, , 
77.08, 77, Ferrous metals, Including classificationand  designationand  samplingand  chemical analysisand  etc., 
77.1, 77, Ferroalloys, Including classificationand  designationand  samplingand  chemical analysisand  etc., 
77.12, 77, Non-ferrous metals, Including classificationand  designationand  samplingand  chemical analysisand  etc., 
77.14, 77, Iron and steel products, , 
77.15, 77, Products of non-ferrous metals, Including products of non-ferrous metal alloys, 
77.16, 77, Powder metallurgy, Including sintered metal materials and hard metals, 
77.18, 77, Equipment for the metallurgical industry, , 
79.02, 79, Wood technology processes, Including logging and wood treatment, 
79.04, 79, Woodand  sawlogs and sawn timber, , 
79.06, 79, Wood-based panels, , 
79.08, 79, Semi-manufactures of timber, Including parquetand  wood pavingand  handlesand  etc., 
79.1, 79, Cork and cork products, , 
79.12, 79, Woodworking equipment, , 
81.02, 81, Processes in the glass and ceramics industries, , 
81.04, 81, Glass, , 
81.06, 81, Ceramics, Including glass-ceramics, 
81.08, 81, Refractories, Including ceramic refractories, 
81.1, 81, Equipment for the glass and ceramics industries, , 
83.02, 83, Manufacturing processes in the rubber and plastics industries, , 
83.04, 83, Raw materials for rubber and plastics, , 
83.06, 83, Rubber, , 
83.08, 83, Plastics, , 
83.1, 83, Cellular materials, , 
83.12, 83, Reinforced plastics, , 
83.14, 83, Rubber and plastics products, , 
83.16, 83, Tyres, Including tubes and valves, 
83.18, 83, Adhesives, Including adhesive tapes, 
83.2, 83, Equipment for the rubber and plastics industries, , 
85.02, 85, Paper production processes, Including paper recycling, 
85.04, 85, Pulps, , 
85.06, 85, Paper and board, , 
85.08, 85, Paper products, Including paper based stationery, 
85.1, 85, Equipment for the paper industry, , 
87.02, 87, Paint coating processes, , 
87.04, 87, Paints and varnishes, Including coating powdersand  paint coatings and protective paint systems, 
87.06, 87, Paint ingredients, , 
87.08, 87, Inks. Printing inks, , 
87.1, 87, Paint coating equipment, , 
91.01, 91, Construction industry, , 
91.02, 91, Physical planning. Town planning, , 
91.04, 91, Buildings, , 
91.06, 91, Elements of buildings, , 
91.08, 91, Structures of buildings, Including designand  loading on and calculation of structures, 
91.09, 91, External structures, Including fencesand  gatesand  archesand  shedsand  garagesand  etc., 
91.1, 91, Construction materials, Including sustainability of construction materials, 
91.12, 91, Protection of and in buildings, , 
91.14, 91, Installations in buildings, , 
91.16, 91, Lighting, Including oil and gas lamps, 
91.18, 91, Interior finishing, , 
91.19, 91, Building accessories, Including locksand  buzzersand  bellsand  boltsand  door and window hardwareand  etc., 
91.2, 91, Construction technology, Including measuring methodsand  construction sitesand  demolition of structuresand  etc., 
91.22, 91, Construction equipment, Including scaffoldingand  mixers for concrete and mortarand  etc., 
93.01, 93, Civil engineering in general, , 
93.02, 93, Earthworks. Excavations. Foundation construction. Underground works, Including geotechnics, 
93.025, 93, External water conveyance systems, Including buried and above ground installations, 
93.03, 93, External sewage systems, , 
93.04, 93, Bridge construction, , 
93.06, 93, Tunnel construction, , 
93.08, 93, Road engineering, , 
93.1, 93, Construction of railways, Including the construction of tramwaysand  funicular railwaysand  cablewaysand  rail traffic control equipment and installationsand  etc., 
93.11, 93, Construction of ropeways, , 
93.12, 93, Construction of airports, Including air transport control equipment and installations, 
93.14, 93, Construction of waterwaysand  ports and dykes, Including river embankmentsand  water transport control equipment and installationsand  etc., 
93.16, 93, Hydraulic construction, , 
95.02, 95, Military in general, Including defense procurementand  defense standardizationand  etc., 
95.04, 95, Military engineering, , 
95.06, 95, Weapons, , 
97.02, 97, Home economics in general, Including consumer information, 
97.03, 97, Domestic electrical appliances in general, Including water-bed heaters and electric blankets, 
97.04, 97, Kitchen equipment, , 
97.06, 97, Laundry appliances, Including washing-machinesand  dry-cleanersand  driersand  ironing and pressing appliancesand  etc., 
97.08, 97, Cleaning appliances, Including vacuum cleanersand  floor-cleaning machinesand  floor polishersand  steam cleanersand  pressure cleanersand  hand operated cleanersand  etc., 
97.1, 97, Domesticand  commercial and industrial heating appliances, Including thermal storage room heating appliances, 
97.12, 97, Automatic controls for household use, , 
97.13, 97, Shop fittings, , 
97.14, 97, Furniture, Including upholsteryand  mattressesand  office furnitureand  school furnitureand  etc., 
97.145, 97, Ladders, , 
97.15, 97, Floor coverings, , 
97.16, 97, Home textiles. Linen, Including duvetsand  blanketsand  bedding, 
97.17, 97, Body care equipment, Including hair-driersand  razorsand  shaversand  toothbrushesand  massage appliancesand  radiation skin treatment appliancesand  etc., 
97.18, 97, Miscellaneous domestic and commercial equipment, Including scissorsand  aquarium equipmentand  articles for domestic animalsand  battery chargersand  mopsand  insect electrocutorsand  lightersand  matchesand  paper clipsand  pensand  pencilsand  etc., 
97.19, 97, Equipment for children, Including child safety requirements for other household equipment, 
97.195, 97, Items of art and handicrafts. Cultural property and heritage, Including conservation of collections and equipment and materials for creating items of art and handicrafts, 
97.2, 97, Equipment for entertainment, , 
97.22, 97, Sports equipment and facilities, , 
01.040.01, 1.04, Generalities. Terminology. Standardization. Documentation (Vocabularies), , 
01.040.03, 1.04, Services. Company organizationand  management and quality. Administration. Transport. Sociology. (Vocabularies), , 
01.040.07, 1.04, Natural and applied sciences (Vocabularies), , 
01.040.11, 1.04, Health care technology (Vocabularies), , 
01.040.13, 1.04, Environment. Health protection. Safety (Vocabularies), , 
01.040.17, 1.04, Metrology and measurement. Physical phenomena (Vocabularies), , 
01.040.19, 1.04, Testing (Vocabularies), , 
01.040.21, 1.04, Mechanical systems and components for general use (Vocabularies), , 
01.040.23, 1.04, Fluid systems and components for general use (Vocabularies), , 
01.040.25, 1.04, Manufacturing engineering (Vocabularies), , 
01.040.27, 1.04, Energy and heat transfer engineering (Vocabularies), , 
01.040.29, 1.04, Electrical engineering (Vocabularies), , 
01.040.31, 1.04, Electronics (Vocabularies), , 
01.040.33, 1.04, Telecommunications. Audio and video engineering (Vocabularies), , 
01.040.35, 1.04, Information technology (Vocabularies), , 
01.040.37, 1.04, Image technology (Vocabularies), , 
01.040.39, 1.04, Precision mechanics. Jewellery (Vocabularies), , 
01.040.43, 1.04, Road vehicle engineering (Vocabularies), , 
01.040.45, 1.04, Railway engineering (Vocabularies), , 
01.040.47, 1.04, Shipbuilding and marine structures (Vocabularies), , 
01.040.49, 1.04, Aircraft and space vehicle engineering (Vocabularies), , 
01.040.53, 1.04, Materials handling equipment (Vocabularies), , 
01.040.55, 1.04, Packaging and distribution of goods (Vocabularies), , 
01.040.59, 1.04, Textile and leather technology (Vocabularies), , 
01.040.61, 1.04, Clothing industry (Vocabularies), , 
01.040.65, 1.04, Agriculture (Vocabularies), , 
01.040.67, 1.04, Food technology (Vocabularies), , 
01.040.71, 1.04, Chemical technology (Vocabularies), , 
01.040.73, 1.04, Mining and minerals (Vocabularies), , 
01.040.75, 1.04, Petroleum and related technologies (Vocabularies), , 
01.040.77, 1.04, Metallurgy (Vocabularies), , 
01.040.79, 1.04, Wood technology (Vocabularies), , 
01.040.81, 1.04, Glass and ceramics industries (Vocabularies), , 
01.040.83, 1.04, Rubber and plastics industries (Vocabularies), , 
01.040.85, 1.04, Paper technology (Vocabularies), , 
01.040.87, 1.04, Paint and colour industries (Vocabularies), , 
01.040.91, 1.04, Construction materials and building (Vocabularies), , 
01.040.93, 1.04, Civil engineering (Vocabularies), , 
01.040.95, 1.04, Military Affairs. Military engineering. Weapons (Vocabularies), , 
01.040.97, 1.04, Domestic and commercial equipment. Entertainment. Sports (Vocabularies), , 
01.080.01, 1.08, Graphical symbols in general, , 
01.080.10, 1.08, Public information symbols. Signs. Plates. Labels, Including safety signsand  safety coloursand  etc., 
01.080.20, 1.08, Graphical symbols for use on specific equipment, , 
01.080.30, 1.08, Graphical symbols for use on mechanical engineering and construction drawingsand  diagramsand  plansand  maps and in relevant technical product documentation, , 
01.080.40, 1.08, Graphical symbols for use on electrical and electronics engineering drawingsand  diagramsand  charts and in relevant technical product documentation, , 
01.080.50, 1.08, Graphical symbols for use on information technology and telecommunications technical drawings and in relevant technical product documentation, , 
01.080.99, 1.08, Other graphical symbols, , 
01.100.01, 1.1, Technical drawings in general, , 
01.100.20, 1.1, Mechanical engineering drawings, , 
01.100.25, 1.1, Electrical and electronics engineering drawings, Including electrical tablesand  diagrams and charts, 
01.100.27, 1.1, Technical drawings for telecommunications and information technology fields, , 
01.100.30, 1.1, Construction drawings, Including civil engineering drawings, 
01.100.40, 1.1, Drawing equipment, , 
01.100.99, 1.1, Other standards related to technical drawings, , 
01.140.10, 1.14, Writing and transliteration, , 
01.140.20, 1.14, Information sciences, Including documentationand  librarianship and archive systems, 
01.140.30, 1.14, Documents in administrationand  commerce and industry, , 
01.140.40, 1.14, Publishing, , 
