AMD Athlon Gold 3150U; Laptop; FP5; 2.4GHZ; 3.3GHZ; 2; 4; 15W; 12W; 25W; 
AMD Athlon Gold PRO 3150G; Desktop; AM4; 3.5GHZ; 3.9GHZ; 4; 4; 65W; 45W; ; 
AMD Athlon Gold PRO 3150GE; Desktop; AM4; 3.3GHZ; 3.8GHZ; 4; 4; 35W; ; ; 
AMD Athlon II 160u; Desktop; ; 1.8GHZ; ; 1; 1; 20W; ; ; 
AMD Athlon II 170u; Desktop; AM2+,AM3; 2.0GHZ; ; 1; 1; 20W; ; ; 
AMD Athlon II Dual-Core M300; ; ; 2.0GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon II Dual-Core M320; ; ; 2.1GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon II Dual-Core M340; ; ; 2.2GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon II N330 Dual-Core; ; ; 2.3GHZ; ; 2; 2; 35W; ; ; 
AMD Athlon II N350 Dual-Core; ; ; 2.4GHZ; ; 2; 2; 35W; ; ; 
